company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
Mühendislik Uygulamaları,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",HARDSHIELD MÜHENDİSLİK PROJE İNŞAAT TİCARET LİMİTED ŞİRKETİ,+90 (212) 285 71 92,https://www.hardshieldbrm.com/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",O1 Teknoloji A.Ş,+90 (212) 285 45 79-80 (4 Hat),https://o1.com.tr/tr/
Otomasyon,ariteknokent@ariteknokent.com.tr,"&Uuml;&ccedil;gen Otomasyon Ltd. Şti. 2003 yılında anahtar teslim &ouml;zel tasarım end&uuml;striyel otomasyon sistemleri ger&ccedil;ekleştirerek başladığı&nbsp;yolculuğuna, mantık ve algoritmalar &uuml;zerine deneyim ve yetenekler biriktirerek her t&uuml;rl&uuml; otomasyonu geniş bir yelpazede ele alan bir m&uuml;hendislik merkezi haline geldi. Bug&uuml;n her sekt&ouml;rde RPA, IIoT ve End&uuml;striyel Otomasyon gibi farklı disiplinleri End&uuml;stri 4.0 yaklaşımı ile kolayca entegre edebiliyor. &nbsp; &nbsp;","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",Üçgen Otomasyon Ltd. Şti.,+90 (212) 285 71 92,
Yazılım,ariteknokent@ariteknokent.com.tr,"NDB Yazılım firmasının geliştirdiği DigitAll Ocean yazılım &uuml;r&uuml;n&uuml;, petrol sahalarında faaliyet g&ouml;steren denizcilik sekt&ouml;r&uuml; firmaları i&ccedil;in geliştirilmektedir. DigitAll Ocean &uuml;r&uuml;n&uuml; 3 farklı kıtada 13 farklı &uuml;lkede kullanılmaktadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",NDB YAZILIM TİCARET VE SANAYİ LİMİTED ŞİRKETİ,+90 (212) 285 71 92,http://www.ndbsoftware.com
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"Invent firması veri analitiği &ccedil;&ouml;z&uuml;mlerinin firmaların karlılıklarına %2 -%6 arasında katkılar sağlamış, bunu geniş kapsamlı A-B testleri ile ispatlamıştır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",INVENT,+90 (212) 285 71 92,http://www.inventanalytics.com
Yazılım,ariteknokent@ariteknokent.com.tr,"&nbsp;Dataroid, şirketlerin farklı kanallarda ger&ccedil;ekleşen m&uuml;şteri etkileşimi ve deneyimini &ouml;l&ccedil;erek, b&uuml;y&uuml;k veriye dayalı analizler yapma ve ger&ccedil;ek zamanlı aksiyon alma imkanı tanıyan bir etkileşim y&ouml;netimi ve b&uuml;y&uuml;k veri analitiği platformudur.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",Dataroid,+90 (212) 285 71 92,https://www.dataroid.com/
Gıda,ariteknokent@ariteknokent.com.tr,"Bioactive Research &amp; Innovation İT&Uuml; ARI Teknokent b&uuml;nyesinde faaliyet g&ouml;steren, gıda teknolojileri alanında &uuml;niversite bilgi birikimiyle &ouml;zel, g&uuml;ncel ve &ouml;zg&uuml;n &ccedil;&ouml;z&uuml;mler &uuml;retmek &uuml;zere kurulmuş bir araştırma ve inovasyon merkezidir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",BIOACTIVE ARAŞTIRMA,+90 (212) 285 45 79-80 (4 Hat),https://bioactiveinnovation.com/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",SÜMER TEKNOLOJİ ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://sumertek.com/
Otomotiv,ariteknokent@ariteknokent.com.tr,"Otomotiv Uygulamaları i&ccedil;in Bulut Tabanlı Yapay Zek&acirc;, Batarya Y&ouml;netim Sistemleri ve Yazılımları &uuml;zerine hizmet veren bir firmadır","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",EATRON YAZILIM VE MÜHENDİSLİK TEKNOLOJİLERİ A.Ş.,+90 (212) 285 71 92,https://eatron.com/
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"VSight, farklı konumlardaki uzmanların ve saha g&ouml;revlilerinin aynı hedef &uuml;zerinde birlikte &ccedil;alışmalarını sağlayan, artırılmış ger&ccedil;eklik tabanlı ve akıllı g&ouml;zl&uuml;klerle desteklenen uzaktan yardım/bakım/onarım platformudur. VSight Remote; 21 bir farklı &uuml;lkede, 100&rsquo;&uuml;n &uuml;zerinde kurumsal m&uuml;şteri tarafından kullanılmaktadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",HANGAARLAB,+90 (212) 285 45 79-80 (4 Hat),http://www.hangaarlab.com/
Bilişim,ariteknokent@ariteknokent.com.tr,"Eğlence Fabrikası, d&uuml;nyadaki global ve &uuml;lkemizdeki t&uuml;m yerli dijital platformlara i&ccedil;erik temin eden, T&uuml;rkiye merkezli dijital dağıtım şirketidir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",EĞLENCE FABRİKASI SAN. ÜRÜN. DAN. HİZM. TİC ve SAN. LTD. ŞTİ.,+90 (212) 285 71 92,http://www.eglencefabrikasi.com/
Yazılım,ariteknokent@ariteknokent.com.tr,"Onuss; hızlı ve &Ouml;ng&ouml;r&uuml;l&uuml; Planlama, Stratejik Kararlarda Destek, Canlı Operasyon İzleme ve &Ouml;l&ccedil;&uuml;mleme, Optimizasyon,&nbsp;Rekabet Avantajı&nbsp;Sağlar.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",ONUSS ORTAK NOKTA ULUSLARARASI HABERLEŞME SİSTEM SERVİS BİLGİSAYAR YAZILIM DANIŞMANLIK VE DIŞ TİC. LTD. ŞTİ,+90 (212) 285 71 92,http://www.onuss.com/
Yazılım,ariteknokent@ariteknokent.com.tr,"PayCore Soft POS Platformu,&nbsp;POS&nbsp;uygulama gereksinimlerini mobil cihazlar &uuml;zerinden karşılayan bir yazılım &ccedil;&ouml;z&uuml;m&uuml;d&uuml;r. &nbsp;","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",SOFTPOS TEKNOLOJİ A.Ş.,+90 (212) 285 71 92,https://www.paycore.com/
Bilişim,ariteknokent@ariteknokent.com.tr,"&nbsp; XYZ Teknoloji; finans sekt&ouml;r&uuml;n&uuml;n en karmaşık zorluklarını &ccedil;&ouml;zmek i&ccedil;in teknoloji, strateji, veri bilimi ve tasarımı bir araya getirme konusunda derin bir bilgi birikimine sahip bir firma.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",XYZ TEKNOLOJİ A.Ş.,+90 (212) 285 71 92,http://www.xyzteknoloji.com
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"We offer the only platform that allows you to perform your strategic, tactical, and operational supply chain planning -- and with a common data model. We are unique in being able to plan inventory, orders, and transportation concurrently. By optimizing across your entire network, as opposed to individual silos, you get business results and benefits that are multiples of traditional solutions.&nbsp;","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 2 Binası Maslak / İstanbul",SOLVOYO,+90 (212) 285 07 89,http://solvoyo.com/
Bilişim Teknolojiler,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",KolayKaravan Bilişim ve Teknoloji A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://www.kolaykaravan.com/
Yazılım,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",FORINVEST YAZILIM VE TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://www.forinvest.com/
BİYOTEKNOLOJİ,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",Qlear Biyoteknoloji A.Ş.,+90 (212) 285 45 79-80 (4 Hat),
Çevre Teknolojileri,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",WALKERS DİJİTAL ÇÖZÜMLER TİCARET ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://walkersapp.com/
Yazılım,ariteknokent@ariteknokent.com.tr,"Yokyer Bilişim, İstanbul&nbsp;T&uuml;rkiye&#39;den oyun geliştiricileri, sanat&ccedil;ılar ve m&uuml;zisyenlerden oluşan bir ekip.&nbsp;Yaklaşan projelerle oyunların anlatılma şeklini değiştirmeyi ama&ccedil;layan bir firma.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 4 Binası Maslak / İstanbul",YOKYER BİLİŞİM YAZILIM ARAŞTIRMA GELİŞTİRME EĞITIM VE DANIŞMANLIK SANAYİ VE TİCARET LTD. ŞTİ.,+90 (212) 309 99 95,https://www.nowherestudios.com/
Finans,ariteknokent@ariteknokent.com.tr,"İşte Pay, TCMB &Ouml;deme Kuruluşu standartlarıyla uyumlu olarak farklı segment ve &ouml;l&ccedil;ekteki firmalar i&ccedil;in yenilik&ccedil;i ve pratik &ouml;deme &ccedil;&ouml;z&uuml;mleri sunmaktadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",İŞTE PAY ÖDEME KURULUŞU ANONİM ŞİRKETİ,+90 (212) 285 71 92,https://istepay.com/
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"Mynet, vidobu&#39;nun geliştirmiş olduğu video &ouml;ğrenme altyapısı ile 10.000&#39;in &uuml;zerinde bireysel kullanıcı, 100&#39;&uuml;n &uuml;zerinde şirket ve 50&#39;nin &uuml;zerinde &uuml;niversiteye eğitim i&ccedil;eriği sağlanmaktadır. Mynet Games global pazar i&ccedil;in mobil oyunlar &uuml;retmekte olup,&nbsp;oyunları 20 milyondan fazla oyuncuya ulaşmaktadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 2 Binası Maslak / İstanbul",MYNET,+90 (212) 285 07 89,http://mynet.com.tr/
Çevre Teknolojileri,ariteknokent@ariteknokent.com.tr,T&uuml;rkiye&rsquo;nin ilk yerli &uuml;retim Membran Biyoreakt&ouml;r mod&uuml;l&uuml; ile ilk g&uuml;&ccedil;lendirilmiş fiber membranların &uuml;retimi ve ticarileştirilmesini ger&ccedil;ekleştirmiştir,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",MEMSİS,+90 (212) 285 71 92,http://www.memsis.com.tr
Çevre Teknolojileri,,Norm &Ccedil;evre tarafından geliştirilen UZAKTAN İZLEME SİSTEMİ ile atıksu arıtma tesislerini online olarak s&uuml;rekli izlemekte ve işletmektedir.&nbsp;,Ankara,NORM,,http://normcevre.com
Elektronik,ariteknokent@ariteknokent.com.tr,"MEG, &nbsp;Enerji Dağıtım Sekt&ouml;r&uuml;ne , Sensplorer ve G&ouml;zetmen &uuml;r&uuml;n ailesiyle izleme ve alarmlandırmada yepyeni bir bakış a&ccedil;ısıyla &nbsp;değer katan projeler sunmaya devam ediyor.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",MEG,+90 (212) 285 71 92,http://www.meg.com.tr
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"ECHONOS, iki veya daha fazla ERP sistemi arasında yer alan bir Bulut SaaS platformudur.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",ECHONOS YAZILIM VE TİCARET LTD. ŞTİ.,+90 (212) 285 71 92,https://www.echonos.com/
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"Valensas, finans başta olmak &uuml;zere farklı sekt&ouml;rdeki şirketler i&ccedil;in anahtar teslim&nbsp;web ve mobil yazılım projeleri &uuml;retmektedir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 2 Binası Maslak / İstanbul",VALENSAS,+90 (212) 285 07 89,http://www.valensas.com/
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 2 Binası Maslak / İstanbul",FONOKLİK,+90 (212) 285 07 89,http://www.phonoclick.com
Bilişim,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",ACCENTURE ENDÜSTRİYEL YAZILIM ÇÖZÜMLERİ LTD. ŞTİ.,+90 (212) 285 71 92,https://www.accenture.com
Havacılık,ariteknokent@ariteknokent.com.tr,KUPFER İleri Malzeme Teknolojileri geliştirdiği elektronik seramikler ile mikrodalga bileşenlerde 2.5 kat performans artışı sağlamıştır.,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",KUPFER,+90 (212) 285 45 79-80 (4 Hat),http://www.kupfer.com.tr/
Yazılım,ariteknokent@ariteknokent.com.tr,"RiskT&uuml;rk&rsquo;&uuml;n geliştirdiği Piyasa Riski Yazılımı, T&uuml;rkiye&rsquo;de 15 Banka, 12 Portf&ouml;y Y&ouml;netim Şirketi ve&nbsp; 6 Aracı Kurum tarafından kullanılmaktadır.&nbsp;&nbsp;","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",RİSK YAZILIM TEKNOLOJİLERİ DANIŞMANLIK EĞİTİM TİC. LTD. ŞTİ.,+90 (212) 285 71 92,http://www.riskturk.com
Bilişim,ariteknokent@ariteknokent.com.tr,"Sensemore, u&ccedil;tan uca ve tak&amp;plag &ccedil;&ouml;z&uuml;mleri ile makine arızalarını ve katastrofik arızaları &ouml;nleyen bir firmadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",SENSEMORE TEKNOLOJİ A.Ş.,+90 (212) 285 71 92,https://sensemore.io/
Enerji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",TÜRKİYE PETROL RAFİNELERİ ANONİM ŞİRKETİ,+90 (212) 285 71 92,http://www.tupras.com.tr
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"Sermaye piyasalarında faaliyet g&ouml;steren aracı kurumlar, bankalar, emeklilik şirketleri, portf&ouml;y y&ouml;netim şirketleri ve reel sekt&ouml;r şirketlerindeki profesyonellere y&ouml;nelik katma değerli analiz platformları sunmaktayız.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",RASYONET,+90 (212) 285 45 79-80 (4 Hat),http://rasyonet.com/
Bilişim,ariteknokent@ariteknokent.com.tr,"SOFT ROBOTICS,&nbsp;FİNTECH VE BANKALARA HİZMET EDEN TUTKULU VE UZMAN FİNTECH FİRMASIDIR.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",SOFT ROBOTICS İNOVASYON YAZILIM VE DANIŞMANLIK AŞ.,+90 (212) 285 71 92,https://softrobotics.com.tr/
Elektronik & Bilişim,ariteknokent@ariteknokent.com.tr,"İUGO, otomotiv m&uuml;hendisliği hizmetleri veren, verimli ve g&uuml;venli s&uuml;r&uuml;ş konularında bilimsel &ccedil;alışmalar yapan&nbsp;bir platformdur.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",İUGO TEKNOLOJİ A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://www.iugo.tech/
Otomotiv,ariteknokent@ariteknokent.com.tr,"OTAM, 2004 yılında; İT&Uuml; Vakfı, OSD ve T&Uuml;BİTAK ortaklığı ile; &Uuml;niversite-Sanayi işbirliğini g&uuml;&ccedil;lendirerek, otomotiv sekt&ouml;r&uuml;n&uuml;n k&uuml;resel pazarlardaki rekabet&ccedil;iliği artırmak amac ile &uuml;retim &ouml;ncesi Ar Ge, test ve sertifikasyon &ccedil;alışmalarını ger&ccedil;ekleştirmek amacıyla bir merkez yapısında kurulmuştur.&nbsp;","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",OTAM,+90 (212) 285 71 92,http://otam.com.tr/
Yazılım,ariteknokent@ariteknokent.com.tr,"SMG, kendi geliştirdiği yazılımı ve &uuml;rettiği m&uuml;zikler ile 33 &uuml;lkede 850&#39;den fazla firmanın 12.000 noktasında m&uuml;zik ve anons yayını yapmaktadır.Şu anda pazarın y&uuml;zde 50&rsquo;sine hizmet vermekte olup, 12 yıldır lider konumda yer almaktadır. Harmonik benzerlik, &uuml;&ccedil;&uuml;nc&uuml; parti entegrasyonu, SaaS (Software as a Service) gibi pek &ccedil;ok yenilik &uuml;zerinde &ccedil;alışmalarına devam etmektedir. &nbsp;",Ankara,SMG,,http://www.smg.com.tr/
Elektronik,ariteknokent@ariteknokent.com.tr,"ARGENIT,&nbsp; mikroskop temelli medikal / end&uuml;striyel g&ouml;r&uuml;nt&uuml;leme ve g&ouml;r&uuml;nt&uuml; analiz sistemleri hizmeti vermektedir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",ARGENİT,+90 (212) 285 71 92,http://www.argenit.com.tr/
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"Doğuş Planet,&nbsp;e-ticaret yatırımı olarak, binlerce marka ve mağazayı milyonlarca m&uuml;şteriyle buluşturan a&ccedil;ık pazar platformu alışverişin uğurlu adresi &ldquo;n11.com&rdquo;u a&ccedil;tı.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",N11 | DOĞUŞ PLANET,+90 (212) 285 45 79-80 (4 Hat),http://www.n11.com
Bilişim,ariteknokent@ariteknokent.com.tr,"Nar İnovatif&nbsp;&Ccedil;&ouml;z&uuml;mler ekibi konularında uzman ve y&uuml;ksek tecr&uuml;beye sahip End&uuml;stri M&uuml;hendisi, İşletme M&uuml;hendisi ve Ekonomistlerden oluşmaktadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",NAR İNOVATİF ÇÖZÜMLER SAN. VE TİC. LTD. ŞTİ.,+90 (212) 285 71 92,https://narisol.com/
Genetik - Bioteknoloji,ariteknokent@ariteknokent.com.tr,Aquatayf Biyoteknoloji Anadolu mikrobiyatası ve k&uuml;lt&uuml;r zenginliğimizin istenen koşullara adapte olduğu bilinen canlılardan izole edilerek genetik ve biyokimyasal karakterizasyonu neticesinde &ouml;zg&uuml;n olduklarını belirlenen mikrobiyal kaynaklı enzimlerin ticarileştirilmesi &uuml;zerinde &ccedil;alışmaktadır.&nbsp;,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",AQUATAYF,+90 (212) 285 71 92,http://www.aquatayf.com
Çevre Teknolojileri,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",A2O MİNERAL,+90 (212) 285 45 79-80 (4 Hat),https://a2omineral.com/tr/
