company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
MADENCILIK,ergingulcan@hacettepe.edu.tr; info@hacettepeteknokent.com.tr,,Ankara,VALORE TEKNOLOJİ MADENCİLİK DANIŞMANLIK VE TİCARET LİMİTED ŞİRKETİ,(031) 229-77-60; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
OTOMOTIV-MAKINE,info@hacettepeteknokent.com.tr; info@tecversus.com,,Ankara,Versus Mühendislik İthalat İhracat Limited Şirketi,(532) 000-00-00; (312) 297 71 62; (312) 297 60 93,http://tecversus.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/
SAGLIK-MEDIKAL,info@hacettepeteknokent.com.tr; info@xera.com.tr,,Ankara,Xera Medikal Ve Teknoloji Ltd Stı,(312) 266-33-30; (312) 297 71 62; (312) 297 60 93,http://www.xera.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.xera.com.tr
SAVUNMA,info@hacettepeteknokent.com.tr; tariknuricoban@hacettepe.edu.tr,,Ankara,ZİGANA ARGE MÜHENDİSLİK LİMİTED ŞİRKETİ,(536) 829-87-06; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
TELEKOMUNIKASYON,info@hacettepeteknokent.com.tr; muhasebe@netgsm.com.tr,,Ankara,NETGSM İLETİŞİM VE BİLGİ TEKNOLOJİLERİ A.Ş.,(312) 911-42-81; (312) 297 71 62; (312) 297 60 93,http://www.netgsm.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.netgsm.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; sahapataman@gmail.com,,Ankara,Şahap Ataman,(312) 236-05-05; (312) 297 71 62; (312) 297 60 93,http://www.steel-data.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.steel-data.com
DIGER,info@hacettepeteknokent.com.tr; tgb@wraithesports.com,,Ankara,YBM BİLGİSAYAR MÜHENDİSLİK SANAYİ VE TİC. A.Ş.,(537) 325-59-50; (312) 297 71 62; (312) 297 60 93,http://www.wraithesports.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.wraithesports.com
DIGER,info@hacettepeteknokent.com.tr,,Ankara,TEKNOLOJİ GELİŞTİRME BÖLGELERİ DERNEĞİ,(312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
DIGER,info@hacettepeteknokent.com.tr; sahikaeroglu@gmail.com,,Ankara,S3E TEKNOLOJİ ANONİM ŞİRKETİ,(532) 624-02-14; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
DIGER,info@hacettepeteknokent.com.tr; quqagida@gmail.com,,Ankara,QUQA GIDA TURİZM ELEKTRONİK İTHALAT İHRACAT LİMİTED ŞİRKETİ,(532) 460-87-87; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
DIGER,info@hacettepeteknokent.com.tr; info@plan.space,,Ankara,PLAN S UYDU VE UZAY TEKNOLOJİLERİ ANONİM ŞİRKETİ,(312) 266-00-20; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.plan.space/
DIGER,info@hacettepeteknokent.com.tr; placosarge@gmail.com,,Ankara,PLACOS ARGE İLAÇ VE KOZMETİK TİCARET LİMİTED ŞİRKETİ,(553) 009-60-58; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
DIGER,info@hacettepeteknokent.com.tr; ofisskirtasiye@gmail.com,,Ankara,Ofiss Kırtasiye Dijital Baskı Ve Bilgisayar Malzemeleri Ticaret Limited Şirketi,(312) 227-00-73; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
DIGER,abdurrahman_karatas@hotmail.com; info@hacettepeteknokent.com.tr,,Ankara,Mcnz Yiyecek İçecek Sanayi Ve Ticaret A.Ş.,(535) 838-59-25; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
DIGER,info@coffeebreak.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Kahveci Tanıtım Turizm Ve Gıda San. Tic. Ltd. Şti.,(312) 266-49-19; (312) 297 71 62; (312) 297 60 93,http://coffeebreak.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/
DIGER,gritinovasyon@gmail.com; info@hacettepeteknokent.com.tr,,Ankara,Grit Bilişim İnovasyon Ve Arge Limited Şirketi,(532) 682-50-08; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
DIGER,bekir58bekir@gmail.com; info@hacettepeteknokent.com.tr,,Ankara,Biltemm Stem Öğretmen Enstitüleri Eğitim Limited Şirketi,(553) 622-21-16; (312) 297 71 62; (312) 297 60 93,http://www.stemogretmenenstituleri.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.stemogretmenenstituleri.com
DIGER,info@hacettepeteknokent.com.tr; selahattin.cetin@botastrading.com.tr,,Ankara,BOTAS TRADING IC MERKEZİ JERSEY ANKARA MERKEZ ŞUBESİ,(532) 632-17-53; (312) 297 71 62; (312) 297 60 93,http://www.botas.gov.tr; https://hacettepe.edu.tr; https://www.botas.gov.tr; https://www.hacettepettm.com/
DIGER,info@hacettepeteknokent.com.tr; kemal@hacettepe.edu.tr,,Ankara,AYKAR TEKNOLOJI VE SANAYI ANONIM SIRKETI,(554) 392-00-85; (312) 297 71 62; (312) 297 60 93,http://www.aykar.co; https://hacettepe.edu.tr; https://www.aykar.co; https://www.hacettepettm.com/
DIGER,info@hacettepeteknokent.com.tr; nozdemir@hacettepe.edu.tr,,Ankara,AKADEMİ KÜLTÜR YAYINCILIK TURİZM DANIŞMANLIK SANAYİ VE TİCARET LTD. ŞTİ.,(538) 527-85-17; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
DIGER,info@hacettepeteknokent.com.tr,,Ankara,ABDULLAH KORKMAZ,(312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; muhasebe@ipsizcambaz.com,,Ankara,İPSİZCAMBAZ ELEKTRONİK VE BİLİŞİM HİZMETLERİ SAN.TİC.A.Ş.,(312) 299-23-29; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.allesgo.com; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; ozgun@iog.com.tr,,Ankara,İOG MÜHENDİSLİK TİC. LTD. ŞTİ.,(312) 432-37-85; (312) 297 71 62; (312) 297 60 93,http://www.iog.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.iog.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; oguz.bozoklu@internia.com,,Ankara,İNTERNİA TEKNOLOJİ ANONİM ŞİRKETİ,(537) 725-33-55; (312) 297 71 62; (312) 297 60 93,http://internia.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,ecalp@e-calp.com; info@hacettepeteknokent.com.tr,,Ankara,İNTENSE WORKS TEKNOLOJİ LİMİTED ŞİRKETİ,(532) 541-78-85; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; lutfi@ozbilen.web.tr,,Ankara,ÖZBİLEN SOLUTION EĞİTİM VE DANIŞMANLIK LTD. ŞTİ.,(532) 305-34-39; (312) 297 71 62; (312) 297 60 93,http://ozbilensolution.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@youreply.com.tr,,Ankara,Youreply Teknoloji Ticaret Eğitim Danışmanlık Araştırma Organizasyon Anonim Şirketi,(533) 967-71-56; (312) 297 71 62; (312) 297 60 93,http://www.youreply.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.youreply.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; info@konrul.com,,Ankara,Ydc Bilişim Elektronik Araştırma Geliştirme Ltd. Şti.,(533) 331-49-41; (312) 297 71 62; (312) 297 60 93,http://www.konrul.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.konrul.com
YAZILIM,bilgekaankaplan01@gmail.com; info@hacettepeteknokent.com.tr,,Ankara,Wordbaze Yazılım A.Ş.,(507) 038-43-21; (312) 297 71 62; (312) 297 60 93,http://wordbaze.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; mevlutkarapinar@vegayazilim.com.tr,,Ankara,Vega Grup Yazılım Ve Bilişim Teknolojileri Ticaret Anonim Şirketi,(312) 428-63-53; (312) 297 71 62; (312) 297 60 93,http://www.vegayazilim.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.vegayazilim.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; sb.kuran@valvolex.com,,Ankara,Valvolex Yazılım Anonim Şirketi,(538) 221-62-96; (312) 297 71 62; (312) 297 60 93,http://www.valvolex.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.valvolex.com
YAZILIM,info@hacettepeteknokent.com.tr; omeralp@gmail.com,,Ankara,VOJİİ GAMES OYUN VE TEKNOLOJİ ANONİM ŞİRKETİ,(555) 241-24-54; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@unarysoftware.com,,Ankara,UNARY YAZILIM LİMİTED ŞİRKETİ,(312) 297 71 62; (312) 297 60 93,http://www.unary.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.unary.com.tr
YAZILIM,hatice.kaya@tepav.org.tr; info@hacettepeteknokent.com.tr,,Ankara,Türkiye Ekonomi Politikaları Araştırma Vakfı Proje Ve Danışmanlık Merkezi İktisadi İşletmesi,(312) 292-55-00; (312) 297 71 62; (312) 297 60 93,http://www.tepav.org.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.tepav.org.tr
YAZILIM,info@hacettepeteknokent.com.tr; info@the-clico.com,,Ankara,Theclıco Yazılım Bilişim Ve Danışmanlık A.Ş.,(554) 920-73-09; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.the-clico.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@teleskop.app,,Ankara,Teleskop Yazılım Teknolojileri Anonim Şırketi,(850) 303-41-05; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://teleskop.app; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; umut.erdaloglu@teknoritma.com.tr,,Ankara,Teknoritma Yazılım Hizmetleri A.Ş.,(312) 227-00-15; (312) 297 71 62; (312) 297 60 93,http://www.teknoritma.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.teknoritma.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; pazaryericonverter@gmail.com,,Ankara,TRENDPİYASA YAZILIM A.Ş,(506) 377-77-76; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@toalx.com.tr,,Ankara,TOALX SAVUNMA VE UZAY TEKNOLOJİLERİ YAPAY ZEKA OYUN ANİMASYON YAZ.MEDYA SAĞLIK TUR.DAN.ORG.TİC.A.Ş.,(551) 112-27-26; (312) 297 71 62; (312) 297 60 93,http://www.toalx.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.toalx.com.tr
YAZILIM,alo@alomaliye.com; info@hacettepeteknokent.com.tr,,Ankara,TIMECOM BİLGİSAYAR YAZILIM BASIN VE YAYINCILIK HİZMETLERİ TİC.LTD.ŞTİ.,(312) 229-49-11; (312) 297 71 62; (312) 297 60 93,http://www.alomaliye.com; https://hacettepe.edu.tr; https://www.alomaliye.com; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@teus.com.tr,,Ankara,TEUS TEKNOLOJİ A.Ş.,(312) 504-44-34; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.teus.com.tr/
YAZILIM,bilgi@tetranova.com.tr; info@hacettepeteknokent.com.tr,,Ankara,TETRANOVA BİLİŞİM ELEKTRONİK MEDYA SAN. TİC. LTD. ŞTİ.,(312) 963-32-10; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.tetranova.com.tr
YAZILIM,ardproje@ardgrup.com.tr; info@hacettepeteknokent.com.tr,,Ankara,TECHNOGATE BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,(549) 613-93-06; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; mine@taleworlds.com,,Ankara,TALEWORLDS ENTERTAINMENT YAZILIM TEKNOLOJİLERİ ANONİM ŞİRKETİ,(536) 888-18-84; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; osman@simulagames.com,,Ankara,SİMULA YAZILIM BİLİŞİM OYUN TEKNOLOJİLERİ SAN. VE TİC. LTD. ŞTİ.,(532) 066-36-18; (312) 297 71 62; (312) 297 60 93,http://www.simulagames.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.simulagames.com
YAZILIM,info@hacettepeteknokent.com.tr; info@stb.plus,,Ankara,Stb Savunma Teknolojileri Bilişim Araştırma Geliştirme Eğitim Ve Dan. A.Ş.,(850) 305-65-80; (312) 297 71 62; (312) 297 60 93,http://www.stb.plus; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.stb.plus
YAZILIM,Ar-GeVeIsOrtakliklariYonetimi@softtech.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Softtech Yazılım Teknolojileri Araştırma Geliştirme Ve Pazarlama Tic. A.Ş.,(530) 940-56-06; (312) 297 71 62; (312) 297 60 93,http://www.softtech.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.softtech.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; srdrsakarya@hotmail.com,,Ankara,Smi Bilişim Yazılım Danışmanlık Projelendirme Tek. Rek. Prod. Ltd. Şti,(543) 458-05-23; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; sisoft@sisoft.com.tr,,Ankara,Sisoft Sağlık Bilgi Sistemleri Anonim Şirketi,(850) 955-74-76; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@signumtte.com,,Ankara,Signum Teknoloji Tanıtım Ve Eğitim Anonim Şirketi,(312) 491-28-13; (312) 297 71 62; (312) 297 60 93,http://www.windesk.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.windesk.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; surhansavunma@gmail.com,,Ankara,SURHAN SAVUNMA TEKNOLOJILERI LIMITED SIRKETI,(054) 563-32-19; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@spac.com.tr,,Ankara,S.p.a.c. Mühendislik Elektronik Bilgisayar İnşaat Sanayi İç Ve Dış Ticaret Anonim Şirketi,(312) 210-14-11; (312) 297 71 62; (312) 297 60 93,http://www.spac.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.spac.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; info@reddlyne.com,,Ankara,Reddlyne Yazılım Sanayi ve Ticaret A.Ş.,(312) 400-04-64; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.reddlyne.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@rubypome.com,,Ankara,RUBYPOME YAZILIM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,(505) 131-44-49; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.rubypome.com
YAZILIM,info@hacettepeteknokent.com.tr; karakasaliefe321@gmail.com,,Ankara,ROBOTOL OYUN ROBOTİK VE YAZILIM ANONİM ŞİRKETİ,(505) 016-72-84; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,cagatay.aslan@quickorder.site; info@hacettepeteknokent.com.tr,,Ankara,QUICK ORDER YAZILIM LTD.ŞTİ.,(546) 796-44-06; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@proven.com.tr,,Ankara,Proven Bilişim Teknolojileri A.Ş.,(312) 999-56-50; (312) 297 71 62; (312) 297 60 93,http://www.proven.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.proven.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; info@pidata.com.tr,,Ankara,Pidata Bilişim Teknolojileri A.Ş.,(312) 284-84-60; (312) 297 71 62; (312) 297 60 93,http://www.pidata.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.pidata.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; legal@picussecurity.com,,Ankara,Picus Bilişim Güvenlik Ticaret A.Ş.,(312) 235-35-79; (312) 297 71 62; (312) 297 60 93,http://www.picussecurity.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.picussecurity.com
YAZILIM,info@hacettepeteknokent.com.tr; info@proven.com.tr,,Ankara,PROVENLABS TEKNOLOJİ ANONİM ŞİRKETİ,(312) 999-56-50; (312) 297 71 62; (312) 297 60 93,http://www.proven.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.proven.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; nilhan.yilmaz@pitcher.com,,Ankara,PITCHER YAZILIM VE BİLGİ TEK. LTD . ŞTİ.,(312) 265-06-42; (312) 297 71 62; (312) 297 60 93,http://www.pitcher.com/; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.pitcher.com/
YAZILIM,info@hacettepeteknokent.com.tr; meddsoftware@gmail.com,,Ankara,PEAK YAZILIM DANIŞMANLIK VE TİCARET LİMİTED ŞİRKETİ,(545) 633-21-94; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; orkunozek15@gmail.com,,Ankara,Orbitco Yazılım Medya Danışmanlık Ticaret A.Ş.,(535) 508-38-68; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; udogan@cyangate.com,,Ankara,Ondo Yazılım Hizmetleri Sanayi Ve Ticaret Ltd.şti.,(312) 432-29-80; (312) 297 71 62; (312) 297 60 93,http://www.cyangate.com; https://hacettepe.edu.tr; https://www.cyangate.com; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@on7yazilim.com,,Ankara,ON7 YAZILIM LİMİTED ŞİRKETİ,(553) 644-58-51; (312) 297 71 62; (312) 297 60 93,http://www.on7yazilim.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.on7yazilim.com
YAZILIM,info@hacettepeteknokent.com.tr; info@omni-x.ai,,Ankara,OMNI X SOLUTIONS YAZILIM GELİŞTİRME TEKNOLOJİ İMALAT VE İTHALAT İHRACAT LİMİTED ŞİRKETİ,(533) 094-05-23; (312) 297 71 62; (312) 297 60 93,http://omni-x.ai; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,finance@smartmessage.com; info@hacettepeteknokent.com.tr,,Ankara,ODC İŞ ÇÖZÜMLERİ DANIŞMANLIK TİCARET ANONİM ŞİRKETİ,(850) 221-39-00; (312) 297 71 62; (312) 297 60 93,http://www.smartmessage.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.smartmessage.com
YAZILIM,fatih.karaman@nishbs.com; info@hacettepeteknokent.com.tr,,Ankara,Nıshbs Bilgi Teknolojileri Yazılım Danışmanlıktic. Ltd. Şti.,(312) 222-64-74; (312) 297 71 62; (312) 297 60 93,http://www.nishbs.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.nishbs.com
YAZILIM,info@hacettepeteknokent.com.tr; info@nuvemind.com,,Ankara,NUVEMIND BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ,(312) 911-98-85; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,barbaros.ucar@numesys.com.tr; info@hacettepeteknokent.com.tr,,Ankara,NUMESYS İLERİ MÜHENDİSLİK HİZ. A.Ş.,(312) 486-00-16; (312) 297 71 62; (312) 297 60 93,http://www.numesys.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.numesys.com.tr
YAZILIM,ardproje@ardgrup.com.tr; info@hacettepeteknokent.com.tr,,Ankara,NEXT SOFT YAZILIM ANONİM ŞİRKETİ,(549) 613-93-06; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,contact@nexoftmobile.com; info@hacettepeteknokent.com.tr,,Ankara,NEXOFT YAZILIM LİMİTED ŞİRKETİ,(501) 357-62-37; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.nexoftmobile.com/
YAZILIM,Mehmetsgulsen@gmail.com; info@hacettepeteknokent.com.tr,,Ankara,NET FREKANS DİJİTAL YAZILIM LİMİTED ŞİRKETİ,(532) 677-56-66; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@navapp.com.tr,,Ankara,NAVAPP YAZILIM VE DANIŞMANLIK ANONİM ŞİRKETİ,(216) 441-68-79; (312) 297 71 62; (312) 297 60 93,http://www.navapp.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.navapp.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; info@meikosoft.com,,Ankara,Meikosoft Yazılım Ve Bilişim Teknolojileri Limited Şirketi,(533) 548-86-39; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; melihbal89@gmail.com,,Ankara,MEPACODE YAZILIM TEKNOLOJİ ANONİM ŞİRKETİ,(505) 477-69-03; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@mecdis.com,,Ankara,MECDIS AKILLI SAVUNMA SİSTEMLERİ TASARIM DANIŞMANLIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,(055) 301-14-59; (312) 297 71 62; (312) 297 60 93,http://www.mecdis.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.mecdis.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; yazilim@mavvo.com.tr,,Ankara,MAVVO YAZILIM ANONİM ŞİRKETİ,(850) 885-06-36; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://mavvo.com.tr/; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; ozge.vural@mbis.com.tr,,Ankara,M.B.İ.S BİLGİSAYAR OTOMASYON DAN. VE EĞİTİM HİZ. SAN. TİC. A.Ş.,(216) 557-51-00; (312) 297 71 62; (312) 297 60 93,http://www.mbis.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.mbis.com.tr
YAZILIM,arman@loopgames.net; info@hacettepeteknokent.com.tr,,Ankara,Loop Games Oyun Teknolojileri A.Ş.,(536) 274-32-12; (312) 297 71 62; (312) 297 60 93,http://loopgames.net; https://hacettepe.edu.tr; https://www.hacettepettm.com/
